
Param lmweight= 1.0 , insertionPenalty=0.0
lmw 1.0 insw 0.0 UTT-1  <s> one </s>	->	 <s> SIX </s>	(-2189.6140041289477)	[2]
lmw 1.0 insw 0.0 UTT-218	<s> seven nine nine </s>	->	 <s> SIX </s>	(-3642.43992742422)	[4]
lmw 1.0 insw 0.0 UTT-219	<s> eight oh </s>	->	 <s> SIX OH </s>	(-2518.7732455167984)	[2]
lmw 1.0 insw 0.0 UTT-220	<s> nine </s>	->	 <s> SIX </s>	(-1864.346334739467)	[2]
lmw 1.0 insw 0.0 UTT-221	<s> zero two </s>	->	 <s> SIX SIX </s>	(-2746.906854712245)	[3]
lmw 1.0 insw 0.0 UTT-222	<s> one two </s>	->	 <s> OH </s>	(-2373.1579585095574)	[3]
lmw 1.0 insw 0.0 UTT-223	<s> two four </s>	->	 <s> OH </s>	(-2245.4458632843903)	[3]
lmw 1.0 insw 0.0 UTT-224	<s> three </s>	->	 <s> SIX </s>	(-1536.4710839408194)	[2]
lmw 1.0 insw 0.0 UTT-225	<s> four </s>	->	 <s> SIX </s>	(-1757.24572935076)	[2]
lmw 1.0 insw 0.0 UTT-226	<s> five </s>	->	 <s> OH </s>	(-1725.0045711404118)	[2]
lmw 1.0 insw 0.0 UTT-227	<s> six zero one seven eight five two </s>	->	 <s> SIX SIX SIX SIX SIX </s>	(-6379.958538624355)	[7]
lmw 1.0 insw 0.0 UTT-228	<s> eight two five nine zero </s>	->	 <s> OH SIX </s>	(-4493.195854022892)	[6]
lmw 1.0 insw 0.0 UTT-229	<s> nine four seven nine three </s>	->	 <s> SIX SIX </s>	(-4501.9581599777775)	[6]
lmw 1.0 insw 0.0 UTT-230	<s> oh seven </s>	->	 <s> SIX </s>	(-2526.0597969930063)	[3]
lmw 1.0 insw 0.0 UTT-231	<s> zero seven one </s>	->	 <s> SIX SIX </s>	(-4261.060734831782)	[4]
lmw 1.0 insw 0.0 UTT-232	<s> one </s>	->	 <s> SIX </s>	(-1532.200402536937)	[2]
lmw 1.0 insw 0.0 UTT-233	<s> two oh nine one </s>	->	 <s> OH SIX </s>	(-3685.4857650981016)	[4]
lmw 1.0 insw 0.0 UTT-234	<s> three zero one one </s>	->	 <s> SIX </s>	(-3446.0848469414927)	[5]
lmw 1.0 insw 0.0 UTT-235	<s> five three zero </s>	->	 <s> SIX </s>	(-3113.9252631713616)	[4]
lmw 1.0 insw 0.0 UTT-236	<s> six three five seven one zero four </s>	->	 <s> SIX OH SIX SIX OH SIX </s>	(-6905.170253443281)	[7]
lmw 1.0 insw 0.0 UTT-237	<s> seven seven two three </s>	->	 <s> SIX SIX </s>	(-4067.132464341779)	[5]
lmw 1.0 insw 0.0 UTT-238	<s> eight eight </s>	->	 <s> OH SIX </s>	(-2023.4755032318794)	[3]
lmw 1.0 insw 0.0 UTT-239	<s> nine </s>	->	 <s> OH </s>	(-1522.8028792653413)	[2]
lmw 1.0 insw 0.0 UTT-240	<s> oh </s>	->	 <s> OH </s>	(-1613.8383108672472)	[1]
lmw 1.0 insw 0.0 UTT-241	<s> zero </s>	->	 <s> SIX </s>	(-2001.334362197609)	[2]
lmw 1.0 insw 0.0 UTT-242	<s> two five </s>	->	 <s> SIX OH </s>	(-2416.70144688533)	[3]
lmw 1.0 insw 0.0 UTT-243	<s> three four zero four </s>	->	 <s> SIX OH FIVE </s>	(-4357.435169890336)	[5]
lmw 1.0 insw 0.0 UTT-244	<s> four seven </s>	->	 <s> SIX SIX </s>	(-2390.181189125725)	[3]
lmw 1.0 insw 0.0 UTT-245	<s> five five zero three eight five four </s>	->	 <s> OH OH OH SIX OH FIVE OH FIVE </s>	(-6510.01574171929)	[8]
lmw 1.0 insw 0.0 UTT-246	<s> six </s>	->	 <s> SIX </s>	(-2288.6973320963043)	[1]
lmw 1.0 insw 0.0 UTT-247	<s> seven </s>	->	 <s> OH </s>	(-2282.7054826389062)	[2]
lmw 1.0 insw 0.0 UTT-248	<s> eight </s>	->	 <s> OH </s>	(-1889.8600729079308)	[2]
lmw 1.0 insw 0.0 UTT-249	<s> oh one nine five </s>	->	 <s> SIX OH </s>	(-3783.3135603145583)	[5]
lmw 1.0 insw 0.0 UTT-250	<s> zero one zero seven two </s>	->	 <s> SIX SIX </s>	(-5447.457866740903)	[6]
lmw 1.0 insw 0.0 UTT-251	<s> one nine </s>	->	 <s> SIX </s>	(-2614.026704639178)	[3]
lmw 1.0 insw 0.0 UTT-252	<s> two </s>	->	 <s> OH </s>	(-1837.8209662192944)	[2]
lmw 1.0 insw 0.0 UTT-253	<s> three </s>	->	 <s> SIX </s>	(-1791.6829705261503)	[2]
lmw 1.0 insw 0.0 UTT-254	<s> four </s>	->	 <s> SIX </s>	(-1789.5031936650769)	[2]
lmw 1.0 insw 0.0 UTT-255	<s> five </s>	->	 <s> OH </s>	(-1764.0884250811914)	[2]
lmw 1.0 insw 0.0 UTT-256	<s> seven two four one </s>	->	 <s> SIX </s>	(-4644.38166391341)	[5]
lmw 1.0 insw 0.0 UTT-257	<s> eight one zero zero </s>	->	 <s> SIX SIX </s>	(-4312.99004370685)	[5]
lmw 1.0 insw 0.0 UTT-258	<s> nine five eight six </s>	->	 <s> OH OH SIX OH </s>	(-5422.454060057512)	[5]
lmw 1.0 insw 0.0 UTT-259	<s> oh nine five </s>	->	 <s> OH OH OH </s>	(-3141.458630964131)	[3]
lmw 1.0 insw 0.0 UTT-260	<s> zero eight nine eight four </s>	->	 <s> SIX SIX </s>	(-4493.7681643401675)	[6]
lmw 1.0 insw 0.0 UTT-261	<s> one </s>	->	 <s> SIX SIX </s>	(-2127.5785143513863)	[3]
lmw 1.0 insw 0.0 UTT-262	<s> two zero eight eight nine </s>	->	 <s> OH OH </s>	(-5001.306121520082)	[6]
lmw 1.0 insw 0.0 UTT-263	<s> four one five three five eight six </s>	->	 <s> OH OH SIX </s>	(-7207.50822572993)	[7]
lmw 1.0 insw 0.0 UTT-264	<s> five three four nine </s>	->	 <s> OH OH </s>	(-4251.213736536624)	[5]
lmw 1.0 insw 0.0 UTT-265	<s> six four </s>	->	 <s> SIX SIX </s>	(-2782.37501460634)	[2]
lmw 1.0 insw 0.0 UTT-266	<s> seven eight </s>	->	 <s> SIX </s>	(-2649.9826332939224)	[3]
lmw 1.0 insw 0.0 UTT-267	<s> eight nine nine oh </s>	->	 <s> SIX SIX </s>	(-3531.3003774476256)	[5]
lmw 1.0 insw 0.0 UTT-268	<s> nine </s>	->	 <s> SIX </s>	(-2235.646834752464)	[2]
lmw 1.0 insw 0.0 UTT-269	<s> oh oh two one three </s>	->	 <s> OH SIX SIX </s>	(-4728.104394333759)	[5]
lmw 1.0 insw 0.0 UTT-270	<s> one four seven </s>	->	 <s> SIX OH </s>	(-2986.78569456552)	[4]
lmw 1.0 insw 0.0 UTT-271	<s> two three six one one zero four </s>	->	 <s> OH SIX SIX OH </s>	(-6696.231611838294)	[7]
lmw 1.0 insw 0.0 UTT-272	<s> three eight two oh oh four four </s>	->	 <s> SIX SIX SIX OH </s>	(-6342.080062843817)	[7]
lmw 1.0 insw 0.0 UTT-273	<s> four nine seven eight two </s>	->	 <s> SIX SIX OH FIVE </s>	(-4557.068828061566)	[6]
lmw 1.0 insw 0.0 UTT-274	<s> five oh eight </s>	->	 <s> OH OH SIX </s>	(-2710.9508681506395)	[3]
lmw 1.0 insw 0.0 UTT-275	<s> six </s>	->	 <s> SIX </s>	(-1933.265013885909)	[1]
lmw 1.0 insw 0.0 UTT-276	<s> seven zero eight zero seven </s>	->	 <s> SIX OH OH SIX </s>	(-5441.134479777043)	[6]
lmw 1.0 insw 0.0 UTT-277	<s> nine one oh </s>	->	 <s> SIX </s>	(-3461.455409821079)	[4]
lmw 1.0 insw 0.0 UTT-278	<s> oh one </s>	->	 <s> OH </s>	(-2098.2318307964697)	[2]
lmw 1.0 insw 0.0 UTT-279	<s> zero five </s>	->	 <s> SIX OH </s>	(-2630.353494005974)	[3]
lmw 1.0 insw 0.0 UTT-280	<s> one nine </s>	->	 <s> OH SIX </s>	(-2583.654911992825)	[3]
lmw 1.0 insw 0.0 UTT-281	<s> two </s>	->	 <s> SIX </s>	(-2479.396502392045)	[2]
lmw 1.0 insw 0.0 UTT-282	<s> three zero eight six one four six </s>	->	 <s> SIX SIX SIX SIX </s>	(-7696.62452995106)	[6]
lmw 1.0 insw 0.0 UTT-283	<s> four </s>	->	 <s> OH </s>	(-2328.583163892584)	[2]
lmw 1.0 insw 0.0 UTT-284	<s> six three five oh three </s>	->	 <s> SIX SIX OH OH OH FIVE </s>	(-5893.716247745846)	[5]
lmw 1.0 insw 0.0 UTT-285	<s> seven four four five one </s>	->	 <s> OH OH OH OH SIX </s>	(-5041.582647884213)	[6]
lmw 1.0 insw 0.0 UTT-286	<s> eight five three one one oh oh </s>	->	 <s> OH OH OH OH OH OH OH </s>	(-6778.863088954012)	[6]
lmw 1.0 insw 0.0 UTT-287	<s> nine seven eight </s>	->	 <s> OH SIX </s>	(-3790.1040345300353)	[4]
lmw 1.0 insw 0.0 UTT-288	<s> oh </s>	->	 <s> OH </s>	(-2319.1720891988944)	[1]
lmw 1.0 insw 0.0 UTT-289	<s> zero </s>	->	 <s> SIX </s>	(-2836.7992293855696)	[2]
lmw 1.0 insw 0.0 UTT-290	<s> one </s>	->	 <s> SIX </s>	(-1743.04701845559)	[2]
lmw 1.0 insw 0.0 UTT-291	<s> three three seven one </s>	->	 <s> SIX </s>	(-3070.902828051512)	[5]
lmw 1.0 insw 0.0 UTT-292	<s> four five </s>	->	 <s> OH </s>	(-2293.8481444853865)	[3]
lmw 1.0 insw 0.0 UTT-293	<s> five eight two zero </s>	->	 <s> SIX </s>	(-3124.705600888646)	[5]
lmw 1.0 insw 0.0 UTT-294	<s> six five four nine two </s>	->	 <s> SIX SIX </s>	(-4063.4365323340953)	[5]
lmw 1.0 insw 0.0 UTT-295	<s> seven </s>	->	 <s> SIX </s>	(-1756.9374253246222)	[2]
lmw 1.0 insw 0.0 UTT-296	<s> eight </s>	->	 <s> SIX </s>	(-2086.6619818120967)	[2]
lmw 1.0 insw 0.0 UTT-297	<s> nine zero nine two one </s>	->	 <s> SIX </s>	(-3831.7024003879465)	[6]
lmw 1.0 insw 0.0 UTT-298	<s> zero four zero five one two seven </s>	->	 <s> SIX SIX </s>	(-7017.995276615475)	[8]
lmw 1.0 insw 0.0 UTT-299	<s> one three one </s>	->	 <s> SIX </s>	(-2743.0251924986114)	[4]
lmw 1.0 insw 0.0 UTT-300	<s> two six one five one three two </s>	->	 <s> SIX </s>	(-6307.236938228096)	[7]
lmw 1.0 insw 0.0 UTT-301	<s> three seven eight two one nine four </s>	->	 <s> SIX SIX </s>	(-5051.993037499863)	[8]
lmw 1.0 insw 0.0 UTT-302	<s> four </s>	->	 <s> SIX </s>	(-1766.4555347721364)	[2]
lmw 1.0 insw 0.0 UTT-303	<s> five oh oh eight nine </s>	->	 <s> SIX </s>	(-4409.117404293241)	[6]
lmw 1.0 insw 0.0 UTT-304	<s> six oh </s>	->	 <s> SIX OH </s>	(-3037.2582096222573)	[1]
lmw 1.0 insw 0.0 UTT-305	<s> eight six two four eight four two </s>	->	 <s> OH SIX </s>	(-5761.8163593264835)	[7]
lmw 1.0 insw 0.0 UTT-306	<s> nine six </s>	->	 <s> SIX </s>	(-2750.10241121742)	[2]
lmw 1.0 insw 0.0 UTT-307	<s> oh seven five four seven oh four </s>	->	 <s> OH OH SIX </s>	(-6136.722286760854)	[6]
lmw 1.0 insw 0.0 UTT-308	<s> zero </s>	->	 <s> SIX </s>	(-2249.4876078082207)	[2]
lmw 1.0 insw 0.0 UTT-309	<s> one nine nine oh oh </s>	->	 <s> SIX OH </s>	(-4138.625782159218)	[5]
lmw 1.0 insw 0.0 UTT-310	<s> two </s>	->	 <s> SIX </s>	(-1541.9187706850262)	[2]
lmw 1.0 insw 0.0 UTT-311	<s> three </s>	->	 <s> OH </s>	(-1607.3091206965241)	[2]
lmw 1.0 insw 0.0 UTT-312	<s> five one eight five six </s>	->	 <s> SIX SIX SIX </s>	(-4943.591521958047)	[5]
lmw 1.0 insw 0.0 UTT-313	<s> six four one </s>	->	 <s> SIX SIX </s>	(-3492.7963297562897)	[3]
lmw 1.0 insw 0.0 UTT-314	<s> seven seven one oh </s>	->	 <s> SIX OH </s>	(-4296.3569260170125)	[4]
lmw 1.0 insw 0.0 UTT-315	<s> eight eight two </s>	->	 <s> SIX SIX </s>	(-3094.87307458432)	[4]
lmw 1.0 insw 0.0 UTT-316	<s> nine </s>	->	 <s> OH </s>	(-1665.0593551023594)	[2]
lmw 1.0 insw 0.0 UTT-317	<s> oh </s>	->	 <s> OH FIVE </s>	(-1500.7306118213783)	[2]
lmw 1.0 insw 0.0 UTT-318	<s> zero </s>	->	 <s> OH </s>	(-2104.2717367673404)	[2]
lmw 1.0 insw 0.0 UTT-319	<s> two two seven eight oh nine one </s>	->	 <s> SIX SIX OH </s>	(-6107.713212867001)	[7]
lmw 1.0 insw 0.0 UTT-320	<s> three three seven six zero seven zero </s>	->	 <s> SIX SIX SIX SIX OH </s>	(-6239.490276943257)	[7]
lmw 1.0 insw 0.0 UTT-321	<s> four nine seven two nine </s>	->	 <s> SIX </s>	(-4382.2604283262535)	[6]
lmw 1.0 insw 0.0 UTT-322	<s> five </s>	->	 <s> OH </s>	(-1714.994013964422)	[2]
lmw 1.0 insw 0.0 UTT-323	<s> six </s>	->	 <s> SIX </s>	(-1949.1186451477126)	[1]
lmw 1.0 insw 0.0 UTT-324	<s> seven </s>	->	 <s> OH </s>	(-1512.0913199684)	[2]
lmw 1.0 insw 0.0 UTT-325	<s> eight zero six zero four four four </s>	->	 <s> SIX SIX SIX </s>	(-5974.590542722747)	[7]
lmw 1.0 insw 0.0 UTT-326	<s> oh four seven seven two </s>	->	 <s> SIX SIX </s>	(-3768.0277123171713)	[6]
lmw 1.0 insw 0.0 UTT-327	<s> zero two zero one seven seven four </s>	->	 <s> SIX </s>	(-5657.856438627101)	[8]
lmw 1.0 insw 0.0 UTT-328	<s> one seven three two one </s>	->	 <s> SIX SIX SIX </s>	(-4782.558748655456)	[6]
lmw 1.0 insw 0.0 UTT-329	<s> two seven five </s>	->	 <s> SIX SIX OH </s>	(-3173.995630577481)	[4]
lmw 1.0 insw 0.0 UTT-330	<s> three </s>	->	 <s> OH </s>	(-1999.5312540637733)	[2]
lmw 1.0 insw 0.0 UTT-331	<s> four </s>	->	 <s> OH </s>	(-1748.9821131988522)	[2]
lmw 1.0 insw 0.0 UTT-332	<s> five zero three nine </s>	->	 <s> OH OH OH OH </s>	(-4485.109109740695)	[5]
lmw 1.0 insw 0.0 UTT-333	<s> seven two nine </s>	->	 <s> SIX </s>	(-3141.9829108785975)	[4]
lmw 1.0 insw 0.0 UTT-334	<s> eight five one nine zero </s>	->	 <s> OH SIX </s>	(-4709.036342623304)	[6]
lmw 1.0 insw 0.0 UTT-335	<s> nine eight six one four </s>	->	 <s> OH OH SIX SIX SIX SIX </s>	(-5254.840744510431)	[6]
lmw 1.0 insw 0.0 UTT-336	<s> oh eight seven one four seven nine </s>	->	 <s> OH OH FIVE SIX SIX </s>	(-6137.215871102062)	[7]
lmw 1.0 insw 0.0 UTT-337	<s> zero </s>	->	 <s> OH </s>	(-2017.676799524778)	[2]
lmw 1.0 insw 0.0 UTT-338	<s> one </s>	->	 <s> SIX </s>	(-1890.9896677017296)	[2]
lmw 1.0 insw 0.0 UTT-339	<s> two zero six nine four seven seven </s>	->	 <s> SIX SIX SIX SIX SIX </s>	(-7392.786613735083)	[7]
lmw 1.0 insw 0.0 UTT-340	<s> four one one six </s>	->	 <s> SIX </s>	(-3878.618679601564)	[4]
lmw 1.0 insw 0.0 UTT-341	<s> five four </s>	->	 <s> SIX SIX </s>	(-2450.263819393221)	[3]
lmw 1.0 insw 0.0 UTT-342	<s> six seven five one </s>	->	 <s> SIX SIX OH </s>	(-3880.1467280795036)	[4]
lmw 1.0 insw 0.0 UTT-343	<s> seven eight six three five seven one </s>	->	 <s> SIX SIX OH OH </s>	(-6778.966317349302)	[7]
lmw 1.0 insw 0.0 UTT-344	<s> eight </s>	->	 <s> SIX </s>	(-1628.7682712505323)	[2]
lmw 1.0 insw 0.0 UTT-345	<s> nine </s>	->	 <s> SIX </s>	(-1685.1278609729209)	[2]
lmw 1.0 insw 0.0 UTT-346	<s> oh oh oh </s>	->	 <s> OH </s>	(-3321.2523557980326)	[3]
lmw 1.0 insw 0.0 UTT-347	<s> one four three two </s>	->	 <s> OH </s>	(-4324.798169095236)	[5]
lmw 1.0 insw 0.0 UTT-348	<s> two three oh </s>	->	 <s> OH </s>	(-3000.7441525919467)	[3]
lmw 1.0 insw 0.0 UTT-349	<s> three five two four four </s>	->	 <s> SIX SIX OH FIVE </s>	(-5421.762580715378)	[6]
lmw 1.0 insw 0.0 UTT-350	<s> four six seven nine one </s>	->	 <s> SIX SIX SIX </s>	(-4615.44105639385)	[5]
lmw 1.0 insw 0.0 UTT-351	<s> five </s>	->	 <s> OH </s>	(-2197.1618470093695)	[2]
lmw 1.0 insw 0.0 UTT-352	<s> six </s>	->	 <s> SIX </s>	(-2101.009616380275)	[1]
lmw 1.0 insw 0.0 UTT-353	<s> seven zero four two nine nine seven </s>	->	 <s> SIX SIX SIX </s>	(-6482.672072913494)	[8]
lmw 1.0 insw 0.0 UTT-354	<s> nine two zero seven </s>	->	 <s> SIX </s>	(-4043.9230272604855)	[5]
lmw 1.0 insw 0.0 UTT-355	<s> oh two </s>	->	 <s> OH </s>	(-2332.524997133545)	[2]
lmw 1.0 insw 0.0 UTT-356	<s> zero nine </s>	->	 <s> SIX </s>	(-2783.3767269006507)	[3]
lmw 1.0 insw 0.0 UTT-357	<s> one six six eight eight </s>	->	 <s> SIX SIX SIX SIX OH OH </s>	(-5502.795832752863)	[5]
lmw 1.0 insw 0.0 UTT-358	<s> two </s>	->	 <s> FIVE </s>	(-1585.328759171934)	[2]
lmw 1.0 insw 0.0 UTT-359	<s> three </s>	->	 <s> OH </s>	(-1781.186088055991)	[2]
lmw 1.0 insw 0.0 UTT-360	<s> four oh </s>	->	 <s> OH </s>	(-2367.322164670363)	[2]
lmw 1.0 insw 0.0 UTT-361	<s> six one three </s>	->	 <s> SIX OH OH </s>	(-3280.5404898311517)	[3]
lmw 1.0 insw 0.0 UTT-362	<s> seven two two six nine five two </s>	->	 <s> SIX OH FIVE OH OH </s>	(-7100.998181518957)	[7]
lmw 1.0 insw 0.0 UTT-363	<s> eight five oh three eight </s>	->	 <s> OH OH OH </s>	(-4333.913336236687)	[5]
lmw 1.0 insw 0.0 UTT-364	<s> nine four oh oh </s>	->	 <s> OH OH </s>	(-3549.9977619242477)	[3]
lmw 1.0 insw 0.0 UTT-365	<s> oh </s>	->	 <s> OH </s>	(-1555.130621906579)	[1]
lmw 1.0 insw 0.0 UTT-366	<s> zero </s>	->	 <s> OH </s>	(-1909.9553451417585)	[2]
lmw 1.0 insw 0.0 UTT-367	<s> one zero five </s>	->	 <s> SIX OH SIX </s>	(-4486.503745075729)	[4]
lmw 1.0 insw 0.0 UTT-368	<s> three two seven seven zero three zero </s>	->	 <s> SIX SIX OH OH FIVE </s>	(-9244.899054130556)	[8]
lmw 1.0 insw 0.0 UTT-369	<s> four four five </s>	->	 <s> SIX OH </s>	(-3759.628166022963)	[4]
lmw 1.0 insw 0.0 UTT-370	<s> five four five </s>	->	 <s> SIX SIX OH SIX SIX </s>	(-5365.371331863705)	[6]
lmw 1.0 insw 0.0 UTT-371	<s> six eight one </s>	->	 <s> OH SIX </s>	(-3814.5297957084476)	[4]
lmw 1.0 insw 0.0 UTT-372	<s> seven </s>	->	 <s> SIX </s>	(-2306.505299902086)	[2]
lmw 1.0 insw 0.0 UTT-373	<s> eight </s>	->	 <s> SIX </s>	(-2095.41468745498)	[2]
lmw 1.0 insw 0.0 UTT-374	<s> nine zero </s>	->	 <s> SIX </s>	(-3093.545460804264)	[3]
lmw 1.0 insw 0.0 UTT-375	<s> zero one two nine five </s>	->	 <s> SIX SIX OH SIX </s>	(-5876.655816985636)	[6]
lmw 1.0 insw 0.0 UTT-376	<s> one three eight three </s>	->	 <s> SIX </s>	(-3958.3599569390594)	[5]
lmw 1.0 insw 0.0 UTT-377	<s> two seven seven </s>	->	 <s> SIX </s>	(-3345.391470727368)	[4]
lmw 1.0 insw 0.0 UTT-378	<s> three </s>	->	 <s> SIX </s>	(-2084.245701666096)	[2]
lmw 1.0 insw 0.0 UTT-379	<s> four five one </s>	->	 <s> SIX </s>	(-3038.219345594896)	[4]
lmw 1.0 insw 0.0 UTT-380	<s> five </s>	->	 <s> OH </s>	(-1564.933851903806)	[2]
lmw 1.0 insw 0.0 UTT-381	<s> six oh one oh seven </s>	->	 <s> SIX SIX </s>	(-4824.781505442863)	[5]
lmw 1.0 insw 0.0 UTT-382	<s> eight two four seven six four nine </s>	->	 <s> SIX SIX SIX OH </s>	(-5787.689562562885)	[7]
lmw 1.0 insw 0.0 UTT-383	<s> nine three five </s>	->	 <s> OH </s>	(-3046.566741956289)	[4]
lmw 1.0 insw 0.0 UTT-384	<s> oh six three four oh </s>	->	 <s> SIX OH </s>	(-4109.767538594199)	[4]
lmw 1.0 insw 0.0 UTT-385	<s> zero seven one </s>	->	 <s> SIX OH </s>	(-3234.238458230456)	[4]
lmw 1.0 insw 0.0 UTT-386	<s> one </s>	->	 <s> SIX </s>	(-1690.7895064157924)	[2]
lmw 1.0 insw 0.0 UTT-387	<s> two </s>	->	 <s> OH </s>	(-1406.4601663692267)	[2]
lmw 1.0 insw 0.0 UTT-388	<s> three zero </s>	->	 <s> SIX SIX </s>	(-3002.7985435676433)	[3]
lmw 1.0 insw 0.0 UTT-389	<s> five one oh </s>	->	 <s> OH FIVE </s>	(-2814.1253366186334)	[4]
lmw 1.0 insw 0.0 UTT-390	<s> six five </s>	->	 <s> OH </s>	(-2472.9762578026784)	[3]
lmw 1.0 insw 0.0 UTT-391	<s> seven five oh three two nine four </s>	->	 <s> OH FIVE OH </s>	(-5438.876265735387)	[6]
lmw 1.0 insw 0.0 UTT-392	<s> eight nine oh </s>	->	 <s> SIX </s>	(-2357.6699784885163)	[4]
lmw 1.0 insw 0.0 UTT-393	<s> nine </s>	->	 <s> SIX </s>	(-2107.77965403435)	[2]
lmw 1.0 insw 0.0 UTT-394	<s> oh </s>	->	 <s> OH </s>	(-1491.3930342571757)	[1]
lmw 1.0 insw 0.0 UTT-395	<s> zero zero three zero zero zero nine </s>	->	 <s> SIX </s>	(-5942.213662399336)	[8]
lmw 1.0 insw 0.0 UTT-396	<s> two two five </s>	->	 <s> OH </s>	(-2587.1864267026212)	[4]
lmw 1.0 insw 0.0 UTT-397	<s> three five three </s>	->	 <s> OH </s>	(-2965.5984101944546)	[4]
lmw 1.0 insw 0.0 UTT-398	<s> four seven </s>	->	 <s> SIX SIX </s>	(-2781.597598041182)	[3]
lmw 1.0 insw 0.0 UTT-399	<s> five eight one five nine </s>	->	 <s> SIX </s>	(-4604.157434734273)	[6]
lmw 1.0 insw 0.0 UTT-400	<s> six eight oh oh </s>	->	 <s> OH </s>	(-3824.1793381689395)	[4]
lmw 1.0 insw 0.0 UTT-401	<s> seven </s>	->	 <s> SIX </s>	(-1907.458489487381)	[2]
lmw 1.0 insw 0.0 UTT-402	<s> eight </s>	->	 <s> OH OH </s>	(-1817.5465818883874)	[3]
lmw 1.0 insw 0.0 UTT-403	<s> oh two four three three </s>	->	 <s> SIX OH </s>	(-4239.879291874741)	[6]
lmw 1.0 insw 0.0 UTT-404	<s> zero five seven nine seven zero two </s>	->	 <s> SIX SIX SIX SIX </s>	(-6290.335872679989)	[8]
lmw 1.0 insw 0.0 UTT-405	<s> one six two five </s>	->	 <s> SIX SIX FIVE OH FIVE </s>	(-5256.862373953742)	[4]
lmw 1.0 insw 0.0 UTT-406	<s> two </s>	->	 <s> SIX </s>	(-2275.304899706223)	[2]
lmw 1.0 insw 0.0 UTT-407	<s> three </s>	->	 <s> SIX </s>	(-1910.0111732068092)	[2]
lmw 1.0 insw 0.0 UTT-408	<s> four </s>	->	 <s> SIX </s>	(-2155.4578741051264)	[2]
lmw 1.0 insw 0.0 UTT-409	<s> five zero eight one </s>	->	 <s> SIX SIX </s>	(-5050.203073598322)	[5]
lmw 1.0 insw 0.0 UTT-410	<s> seven two oh </s>	->	 <s> SIX SIX OH </s>	(-4102.650662034147)	[3]
lmw 1.0 insw 0.0 UTT-411	<s> eight three </s>	->	 <s> SIX </s>	(-3177.7827316866237)	[3]
lmw 1.0 insw 0.0 UTT-412	<s> nine four oh three oh four five </s>	->	 <s> SIX OH SIX SIX SIX OH </s>	(-7460.678950900489)	[7]
lmw 1.0 insw 0.0 UTT-413	<s> oh eight eight oh oh nine oh </s>	->	 <s> OH OH SIX SIX OH FIVE SIX OH FIVE </s>	(-9039.787498763653)	[7]
lmw 1.0 insw 0.0 UTT-414	<s> zero </s>	->	 <s> SIX </s>	(-2035.584871542782)	[2]
lmw 1.0 insw 0.0 UTT-415	<s> one </s>	->	 <s> SIX </s>	(-1934.9829052440614)	[2]
lmw 1.0 insw 0.0 UTT-416	<s> two </s>	->	 <s> SIX </s>	(-1533.3670879149702)	[2]
lmw 1.0 insw 0.0 UTT-417	<s> four two oh nine two </s>	->	 <s> OH </s>	(-5292.036331459167)	[5]
lmw 1.0 insw 0.0 UTT-418	<s> five four one four eight oh seven </s>	->	 <s> SIX SIX </s>	(-6550.711683978191)	[8]
lmw 1.0 insw 0.0 UTT-419	<s> six seven six three seven nine one </s>	->	 <s> SIX SIX SIX SIX SIX </s>	(-6803.714066658299)	[6]
lmw 1.0 insw 0.0 UTT-420	<s> seven </s>	->	 <s> SIX </s>	(-1853.9083087622332)	[2]
lmw 1.0 insw 0.0 UTT-421	<s> eight eight </s>	->	 <s> OH SIX </s>	(-2218.7714305137483)	[3]
lmw 1.0 insw 0.0 UTT-422	<s> nine oh six </s>	->	 <s> SIX </s>	(-3617.8429370259737)	[3]
lmw 1.0 insw 0.0 UTT-423	<s> oh oh one nine oh </s>	->	 <s> SIX </s>	(-5261.534558205891)	[6]
lmw 1.0 insw 0.0 UTT-424	<s> one three nine three </s>	->	 <s> SIX </s>	(-4070.8335094869635)	[5]
lmw 1.0 insw 0.0 UTT-425	<s> two four zero </s>	->	 <s> SIX </s>	(-2932.906807089578)	[4]
lmw 1.0 insw 0.0 UTT-426	<s> three six six four four </s>	->	 <s> SIX SIX SIX SIX OH </s>	(-4957.227531916859)	[4]
lmw 1.0 insw 0.0 UTT-427	<s> four </s>	->	 <s> SIX </s>	(-1865.9688490377573)	[2]
lmw 1.0 insw 0.0 UTT-428	<s> five nine eight nine seven five four </s>	->	 <s> OH OH OH SIX THREE SIX SIX </s>	(-7843.870894488256)	[8]
lmw 1.0 insw 0.0 UTT-429	<s> six </s>	->	 <s> SIX </s>	(-1992.9285507980574)	[1]
lmw 1.0 insw 0.0 UTT-430	<s> seven </s>	->	 <s> SIX </s>	(-1835.7937696393715)	[2]
lmw 1.0 insw 0.0 UTT-431	<s> nine two two four one two one </s>	->	 <s> SIX OH OH SIX </s>	(-6375.51401132557)	[8]
lmw 1.0 insw 0.0 UTT-432	<s> oh six </s>	->	 <s> OH SIX </s>	(-2778.8044411823425)	[1]
lmw 1.0 insw 0.0 UTT-433	<s> zero six </s>	->	 <s> SIX SIX </s>	(-2765.3524717852883)	[2]
lmw 1.0 insw 0.0 UTT-434	<s> one </s>	->	 <s> SIX SIX </s>	(-2617.0994671312937)	[3]
lmw 1.0 insw 0.0 UTT-435	<s> two eight </s>	->	 <s> SIX </s>	(-2331.638855073002)	[3]
